Hours,Minutes,Dateavg,Depthavg,Tempavg,Salavg
11,37,2021-01-15T11:37:25Z,0.2895,28.888333333333332,33.91624011333333
11,38,2021-01-15T11:38:25Z,0.2793333333333333,28.895,33.918620195
11,39,2021-01-15T11:39:25Z,0.26916666666666667,28.885,33.92791140833333
11,40,2021-01-15T11:40:25Z,0.28833333333333333,28.90833333333333,33.94813920166667
11,41,2021-01-15T11:41:25Z,0.27183333333333337,29.013333333333335,33.96259287
11,42,2021-01-15T11:42:25Z,0.26283333333333336,29.06,33.960822363333335
11,43,2021-01-15T11:43:25Z,0.28500000000000003,29.038333333333334,33.99330253
11,44,2021-01-15T11:44:25Z,0.2881666666666667,29.026666666666667,33.98726293166666
11,45,2021-01-15T11:45:25Z,0.26916666666666667,29.025000000000002,33.995609825
11,46,2021-01-15T11:46:25Z,0.2846666666666667,28.996666666666666,34.02737345
11,47,2021-01-15T11:47:25Z,0.31516666666666665,28.96333333333333,34.011909655
11,48,2021-01-15T11:48:25Z,0.277,28.938333333333333,34.00051000166667
11,49,2021-01-15T11:49:25Z,0.288,28.965,33.983722685000004
11,50,2021-01-15T11:50:25Z,0.301,28.981666666666666,33.95095963333333
11,51,2021-01-15T11:51:25Z,0.2836666666666667,28.986666666666665,33.96612494166666
11,52,2021-01-15T11:52:25Z,0.288,28.953333333333333,33.953531606666665
11,53,2021-01-15T11:53:25Z,0.30366666666666664,28.968333333333334,33.942312095
11,54,2021-01-15T11:54:25Z,0.29083333333333333,28.981666666666666,33.93282602
11,55,2021-01-15T11:55:25Z,0.30383333333333334,28.975,33.92549623833333
11,56,2021-01-15T11:56:25Z,0.30633333333333335,28.99,33.94835938833333
11,57,2021-01-15T11:57:25Z,0.3165,29.001666666666665,33.938970663333336
11,58,2021-01-15T11:58:25Z,0.31566666666666665,29,33.94071706
11,59,2021-01-15T11:59:25Z,0.30283333333333334,28.998333333333335,33.94959491666667
12,0,2021-01-15T12:00:25Z,0.32033333333333336,29.028333333333336,33.91400496166666
12,1,2021-01-15T12:01:25Z,0.31216666666666665,29.043333333333333,33.928648278333334
12,2,2021-01-15T12:02:25Z,0.2775,29.071666666666665,33.90140072333333
12,3,2021-01-15T12:03:25Z,0.31183333333333335,29.108333333333334,33.868874401666666
12,4,2021-01-15T12:04:25Z,0.30466666666666664,29.09,33.89282070666667
12,5,2021-01-15T12:05:25Z,0.301,29.071666666666665,33.90252977
12,6,2021-01-15T12:06:25Z,0.2835,29.071666666666665,33.938823225
12,7,2021-01-15T12:07:25Z,0.33516666666666667,29.09,33.94620369166667
12,8,2021-01-15T12:08:25Z,0.312,29.075,33.978389775
12,9,2021-01-15T12:09:25Z,0.30516666666666664,29.173333333333332,33.941654881666665
12,10,2021-01-15T12:10:25Z,0.31233333333333335,29.258333333333333,33.88478149666667
12,11,2021-01-15T12:11:25Z,0.30116666666666664,29.215,33.92923458
12,12,2021-01-15T12:12:25Z,0.31066666666666665,29.183333333333334,33.93731129
12,13,2021-01-15T12:13:25Z,0.31216666666666665,29.105,33.975209605
12,14,2021-01-15T12:14:25Z,0.32283333333333336,29.236666666666668,33.887517288333335
12,15,2021-01-15T12:15:25Z,0.33333333333333337,29.301666666666666,33.82948451
12,16,2021-01-15T12:16:25Z,0.32,29.303333333333335,33.820635288333335
12,17,2021-01-15T12:17:25Z,0.32233333333333336,29.33,33.79637230833333
12,18,2021-01-15T12:18:25Z,0.30816666666666664,29.33,33.800757856666664
12,19,2021-01-15T12:19:25Z,0.30983333333333335,29.35333333333333,33.78819644666667
12,20,2021-01-15T12:20:25Z,0.31383333333333335,29.34,33.78880509333334
12,21,2021-01-15T12:21:25Z,0.32366666666666666,29.37,33.73647198166667
12,22,2021-01-15T12:22:25Z,0.32716666666666666,29.381666666666668,33.744164135
12,23,2021-01-15T12:23:25Z,0.3045,29.323333333333334,33.820843726666666
12,24,2021-01-15T12:24:25Z,0.3115,29.24833333333333,33.87101787833333
12,25,2021-01-15T12:25:25Z,0.32033333333333336,29.22,33.904783789999996
12,26,2021-01-15T12:26:25Z,0.31483333333333335,29.105,33.95987367666667
12,27,2021-01-15T12:27:25Z,0.30433333333333334,29.366666666666667,33.818838166666666
12,28,2021-01-15T12:28:25Z,0.31733333333333336,29.42666666666667,33.836517513333334
12,29,2021-01-15T12:29:25Z,0.31516666666666665,29.408333333333335,33.88084211
12,30,2021-01-15T12:30:25Z,0.31433333333333335,29.461666666666666,33.82784271833333
12,31,2021-01-15T12:31:25Z,0.3328333333333333,29.421666666666667,33.83344545166666
12,32,2021-01-15T12:32:25Z,0.32133333333333336,29.445,33.828570805
12,33,2021-01-15T12:33:25Z,0.32366666666666666,29.371666666666666,33.86097048166667
12,34,2021-01-15T12:34:25Z,0.3305,29.468333333333334,33.78306446333333
12,35,2021-01-15T12:35:25Z,0.32066666666666666,29.516666666666666,33.753535856666666
12,36,2021-01-15T12:36:25Z,0.3285,29.498333333333335,33.76419292333333
12,37,2021-01-15T12:37:25Z,0.325,29.385,33.806501788333335
12,38,2021-01-15T12:38:25Z,0.33616666666666667,29.455,33.82112056166667
12,39,2021-01-15T12:39:25Z,0.3443333333333333,29.58,33.762344805
12,40,2021-01-15T12:40:25Z,0.32483333333333336,29.588333333333335,33.758181265
